# covariate data for axiom7,,,,
# nrow 501,,,,
# ncol 5,,,,
id,Sex,Batch,ngen,StartDate
Schneider_H523,F,7,G30,5/16/2018
Schneider_H524,F,7,G30,5/16/2018
Schneider_H525,F,7,G30,5/16/2018
Schneider_H526,F,7,G30,5/16/2018
Schneider_H527,F,7,G30,5/16/2018
Schneider_H528,F,7,G30,5/16/2018
Schneider_H529,F,7,G30,5/16/2018
Schneider_H530,F,7,G30,5/16/2018
Schneider_H531,F,7,G30,5/16/2018
Schneider_H532,F,7,G30,5/16/2018
Schneider_H533,F,7,G30,5/16/2018
Schneider_H534,F,7,G30,5/16/2018
Schneider_H535,F,7,G30,5/16/2018
Schneider_H536,F,7,G30,5/16/2018
Schneider_H537,F,7,G30,5/16/2018
Schneider_H538,F,7,G30,5/16/2018
Schneider_H539,F,7,G30,5/16/2018
Schneider_H540,F,7,G30,5/16/2018
Schneider_H541,F,7,G30,5/16/2018
Schneider_H542,F,7,G30,5/16/2018
Schneider_H543,F,7,G30,5/16/2018
Schneider_H544,F,7,G30,5/16/2018
Schneider_H545,F,7,G30,5/16/2018
Schneider_H546,F,7,G30,5/16/2018
Schneider_H547,F,7,G30,5/16/2018
Schneider_H548,F,7,G30,5/16/2018
Schneider_H549,F,7,G30,5/16/2018
Schneider_H550,F,7,G30,5/16/2018
